;TAZ,Concept A Zone Number
1,78
2,78
3,78
4,78
5,78
6,78
7,78
8,78
9,78
10,78
11,78
12,78
13,78
14,78
15,78
16,78
17,78
18,78
19,78
20,78
21,78
22,78
23,40
24,78
25,78
26,78
27,78
28,78
29,78
30,78
31,78
32,78
33,78
34,78
35,78
36,78
37,78
38,78
39,78
40,78
41,78
42,40
43,78
44,78
45,78
46,78
47,78
48,78
49,78
50,78
51,78
52,78
53,78
54,78
55,78
56,78
57,78
58,78
59,78
60,78
61,78
62,78
63,78
64,78
65,78
66,78
67,78
68,78
69,78
70,78
71,78
72,78
73,78
74,78
75,78
76,78
77,78
78,78
79,78
80,78
81,78
82,78
83,78
84,78
85,78
86,78
87,78
88,78
89,78
90,78
91,78
92,78
93,78
94,78
95,78
96,78
97,78
98,78
99,78
100,78
101,78
102,78
103,78
104,78
105,78
106,78
107,78
108,78
109,78
110,78
111,78
112,78
113,78
114,78
115,78
116,78
117,78
118,78
119,78
120,78
121,78
122,78
123,78
124,78
125,78
126,78
127,78
128,78
129,78
130,78
131,78
132,78
133,78
134,78
135,78
136,78
137,78
138,78
139,78
140,78
141,78
142,78
143,78
144,78
145,78
146,78
147,78
148,78
149,78
150,78
151,78
152,78
153,78
154,78
155,78
156,78
157,78
158,78
159,78
160,78
161,78
162,78
163,78
164,78
165,78
166,78
167,78
168,78
169,78
170,78
171,78
172,78
173,78
174,78
175,78
176,78
177,78
178,78
179,78
180,78
181,78
182,78
183,78
184,78
185,78
186,78
187,78
188,78
189,78
190,78
191,77
192,77
193,77
194,77
195,77
196,77
197,77
198,77
199,77
200,77
201,77
202,77
203,77
204,77
205,77
206,77
207,77
208,77
209,77
210,77
211,77
212,77
213,77
214,77
215,77
216,77
217,77
218,77
219,77
220,77
221,77
222,77
223,77
224,77
225,74
226,74
227,74
228,77
229,77
230,77
231,77
232,77
233,77
234,77
235,77
236,77
237,77
238,77
239,76
240,75
241,75
242,75
243,75
244,75
245,75
246,75
247,75
248,75
249,75
250,75
251,75
252,75
253,75
254,75
255,75
256,75
257,75
258,75
259,75
260,75
261,75
262,75
263,75
264,75
265,75
266,75
267,75
268,75
269,75
270,75
271,75
272,75
273,75
274,75
275,70
276,75
277,75
278,75
279,75
280,75
281,75
282,75
283,75
284,75
285,75
286,70
287,70
288,70
289,70
290,75
291,75
292,75
293,74
294,74
295,74
296,73
297,72
298,70
299,70
300,70
301,70
302,70
303,70
304,70
305,70
306,70
307,70
308,70
309,70
310,70
311,70
312,70
313,70
314,70
315,70
316,70
317,70
318,70
319,70
320,70
321,70
322,70
323,70
324,70
325,70
326,70
327,70
328,70
329,70
330,70
331,70
332,70
333,69
334,69
335,69
336,70
337,70
338,70
339,70
340,70
341,70
342,70
343,70
344,70
345,70
346,70
347,69
348,69
349,69
350,69
351,69
352,69
353,69
354,69
355,69
356,69
357,69
358,69
359,69
360,69
361,69
362,69
363,69
364,69
365,69
366,69
367,69
368,69
369,69
370,69
371,69
372,69
373,69
374,69
375,69
376,69
377,69
378,69
379,69
380,69
381,69
382,69
383,69
384,69
385,69
386,69
387,69
388,69
389,69
390,69
391,79
392,79
393,79
394,79
395,79
396,79
397,79
398,79
399,79
400,79
401,69
402,79
403,79
404,79
405,52
406,52
407,66
408,66
409,66
410,52
411,52
412,52
413,79
414,66
415,79
416,79
417,79
418,79
419,79
420,79
421,79
422,79
423,79
424,79
425,79
426,79
427,79
428,79
429,79
430,79
431,79
432,66
433,66
434,66
435,66
436,66
437,79
438,79
439,68
440,68
441,68
442,79
443,79
444,79
445,79
446,79
447,79
448,79
449,79
450,79
451,79
452,79
453,79
454,68
455,68
456,68
457,68
458,68
459,68
460,68
461,68
462,68
463,68
464,66
465,66
466,66
467,66
468,67
469,67
470,67
471,66
472,68
473,68
474,68
475,68
476,68
477,68
478,68
479,68
480,68
481,68
482,68
483,68
484,68
485,68
486,68
487,68
488,68
489,68
490,68
491,68
492,68
493,68
494,68
495,68
496,68
497,68
498,68
499,68
500,67
501,68
502,68
503,67
504,67
505,67
506,67
507,67
508,67
509,67
510,67
511,67
512,67
513,67
514,67
515,67
516,67
517,67
518,67
519,67
520,67
521,67
522,67
523,67
524,67
525,67
526,67
527,67
528,67
529,67
530,67
531,67
532,67
533,67
534,67
535,66
536,66
537,66
538,66
539,66
540,66
541,66
542,66
543,66
544,66
545,66
546,66
547,66
548,66
549,66
550,66
551,66
552,66
553,66
554,66
555,66
556,66
557,66
558,66
559,67
560,66
561,65
562,65
563,65
564,65
565,65
566,65
567,65
568,65
569,65
570,65
571,65
572,65
573,65
