;Distance,Distance based,Add Charge,BART Fare,2000 Fare
14600,3.39,13.2,16.59,12
14700,3.39,13.3,16.69,12
14800,3.39,13.4,16.79,12
14900,3.39,13.5,16.89,12
15000,3.39,13.6,16.99,12
15100,3.39,13.7,17.09,12
15200,3.39,13.8,17.19,12
15300,3.39,13.9,17.29,12
15400,3.39,14,17.39,12
15500,3.39,14.1,17.49,12
15600,3.39,14.2,17.59,12
15700,3.39,14.3,17.69,12
15800,3.39,14.4,17.79,12
15900,3.39,14.5,17.89,12
16000,3.39,14.6,17.99,12
16100,3.39,14.7,18.09,12
16200,3.39,14.8,18.19,12
16300,3.39,14.9,18.29,12
16400,3.39,15,18.39,12
16500,3.39,15.1,18.49,12
16600,3.39,15.2,18.59,12
16700,3.39,15.3,18.69,12
16800,3.39,15.4,18.79,12
16900,3.39,15.5,18.89,12
17000,3.39,15.6,18.99,12
17100,3.39,15.7,19.09,12
17200,3.39,15.8,19.19,12
17300,3.39,15.9,19.29,12
17400,3.39,16,19.39,12
17500,3.39,16.1,19.49,12
17600,3.39,16.2,19.59,12
17700,3.39,16.3,19.69,12
17800,3.39,16.4,19.79,12
17900,3.39,16.5,19.89,12
18000,3.39,16.6,19.99,12
18100,3.39,16.7,20.09,12
18200,3.39,16.8,20.19,12
18300,3.39,16.9,20.29,12
18400,3.39,17,20.39,12
18500,3.39,17.1,20.49,12
18600,3.39,17.2,20.59,12
18700,3.39,17.3,20.69,12
18800,3.39,17.4,20.79,12
18900,3.39,17.5,20.89,12
19000,3.39,17.6,20.99,12
19100,3.39,17.7,21.09,12
19200,3.39,17.8,21.19,12
19300,3.39,17.9,21.29,12
19400,3.39,18,21.39,12
19500,3.39,18.1,21.49,12
19600,3.39,18.2,21.59,12
19700,3.39,18.3,21.69,12
19800,3.39,18.4,21.79,12
19900,3.39,18.5,21.89,12
20000,3.39,18.6,21.99,12
20100,3.39,18.7,22.09,12
20200,3.39,18.8,22.19,12
20300,3.39,18.9,22.29,12
20400,3.39,19,22.39,12
20500,3.39,19.1,22.49,12
20600,3.39,19.2,22.59,12
20700,3.39,19.3,22.69,12
20800,3.39,19.4,22.79,12
20900,3.39,19.5,22.89,12
21000,3.39,19.6,22.99,12
21100,3.39,19.7,23.09,12
21200,3.39,19.8,23.19,12
21300,3.39,19.9,23.29,12
21400,3.39,20,23.39,12
21500,3.39,20.1,23.49,12
21600,3.39,20.2,23.59,12
21700,3.39,20.3,23.69,12
21800,3.39,20.4,23.79,12
21900,3.39,20.5,23.89,12
22000,3.39,20.6,23.99,12
22100,3.39,20.7,24.09,12
22200,3.39,20.8,24.19,12
22300,3.39,20.9,24.29,12
22400,3.39,21,24.39,12
22500,3.39,21.1,24.49,12
22600,3.39,21.2,24.59,12
22700,3.39,21.3,24.69,12
22800,3.39,21.4,24.79,12
22900,3.39,21.5,24.89,12
23000,3.39,21.6,24.99,12
23100,3.39,21.7,25.09,12
23200,3.39,21.8,25.19,12
23300,3.39,21.9,25.29,12
23400,3.39,22,25.39,12
23500,3.39,22.1,25.49,12
23600,3.39,22.2,25.59,12
23700,3.39,22.3,25.69,12
23800,3.39,22.4,25.79,12
23900,3.39,22.5,25.89,12
24000,3.39,22.6,25.99,12
24100,3.39,22.7,26.09,12
24200,3.39,22.8,26.19,12
24300,3.39,22.9,26.29,12
24400,3.39,23,26.39,12
24500,3.39,23.1,26.49,12
24600,3.39,23.2,26.59,12
24700,3.39,23.3,26.69,12
24800,3.39,23.4,26.79,12
24900,3.39,23.5,26.89,12
25000,3.39,23.6,26.99,12
25100,3.39,23.7,27.09,12
25200,3.39,23.8,27.19,12
25300,3.39,23.9,27.29,12
25400,3.39,24,27.39,12
25500,3.39,24.1,27.49,12
25600,3.39,24.2,27.59,12
25700,3.39,24.3,27.69,12
25800,3.39,24.4,27.79,12
25900,3.39,24.5,27.89,12
26000,3.39,24.6,27.99,12
26100,3.39,24.7,28.09,12
26200,3.39,24.8,28.19,12
26300,3.39,24.9,28.29,12
26400,3.39,25,28.39,12
26500,3.39,25.1,28.49,12
26600,3.39,25.2,28.59,12
26700,3.39,25.3,28.69,12
26800,3.39,25.4,28.79,12
26900,3.39,25.5,28.89,12
27000,3.39,25.6,28.99,12
27100,3.39,25.7,29.09,12
27200,3.39,25.8,29.19,12
27300,3.39,25.9,29.29,12
27400,3.39,26,29.39,12
27500,3.39,26.1,29.49,12
27600,3.39,26.2,29.59,12
27700,3.39,26.3,29.69,12
27800,3.39,26.4,29.79,12
27900,3.39,26.5,29.89,12
28000,3.39,26.6,29.99,12
28100,3.39,26.7,30.09,12
28200,3.39,26.8,30.19,12
28300,3.39,26.9,30.29,12
28400,3.39,27,30.39,12
28500,3.39,27.1,30.49,12
28600,3.39,27.2,30.59,12
28700,3.39,27.3,30.69,12
28800,3.39,27.4,30.79,12
28900,3.39,27.5,30.89,12
29000,3.39,27.6,30.99,12
29100,3.39,27.7,31.09,12
29200,3.39,27.8,31.19,12
29300,3.39,27.9,31.29,12
29400,3.39,28,31.39,12
29500,3.39,28.1,31.49,12
29600,3.39,28.2,31.59,12
29700,3.39,28.3,31.69,12
29800,3.39,28.4,31.79,12
29900,3.39,28.5,31.89,12
30000,3.39,28.6,31.99,12
30100,3.39,28.7,32.09,12
30200,3.39,28.8,32.19,12
30300,3.39,28.9,32.29,12
30400,3.39,29,32.39,12
30500,3.39,29.1,32.49,12
30600,3.39,29.2,32.59,12
30700,3.39,29.3,32.69,12
30800,3.39,29.4,32.79,12
30900,3.39,29.5,32.89,12
31000,3.39,29.6,32.99,12
31100,3.39,29.7,33.09,12
31200,3.39,29.8,33.19,12
31300,3.39,29.9,33.29,12
31400,3.39,30,33.39,12
31500,3.39,30.1,33.49,12
31600,3.39,30.2,33.59,12
31700,3.39,30.3,33.69,12
31800,3.39,30.4,33.79,12
31900,3.39,30.5,33.89,12
32000,3.39,30.6,33.99,12
32100,3.39,30.7,34.09,12
32200,3.39,30.8,34.19,12
32300,3.39,30.9,34.29,12
32400,3.39,31,34.39,12
32500,3.39,31.1,34.49,12
32600,3.39,31.2,34.59,12
32700,3.39,31.3,34.69,12
32800,3.39,31.4,34.79,12
32900,3.39,31.5,34.89,12
33000,3.39,31.6,34.99,12
33100,3.39,31.7,35.09,12
33200,3.39,31.8,35.19,12
33300,3.39,31.9,35.29,12
33400,3.39,32,35.39,12
33500,3.39,32.1,35.49,12
33600,3.39,32.2,35.59,12
33700,3.39,32.3,35.69,12
33800,3.39,32.4,35.79,12
33900,3.39,32.5,35.89,12
34000,3.39,32.6,35.99,12
34100,3.39,32.7,36.09,12
34200,3.39,32.8,36.19,12
34300,3.39,32.9,36.29,12
34400,3.39,33,36.39,12
34500,3.39,33.1,36.49,12
34600,3.39,33.2,36.59,12
34700,3.39,33.3,36.69,12
34800,3.39,33.4,36.79,12
34900,3.39,33.5,36.89,12
35000,3.39,33.6,36.99,12
35100,3.39,33.7,37.09,12
35200,3.39,33.8,37.19,12
35300,3.39,33.9,37.29,12
35400,3.39,34,37.39,12
35500,3.39,34.1,37.49,12
35600,3.39,34.2,37.59,12
35700,3.39,34.3,37.69,12
35800,3.39,34.4,37.79,12
35900,3.39,34.5,37.89,12
36000,3.39,34.6,37.99,12
36100,3.39,34.7,38.09,12
36200,3.39,34.8,38.19,12
36300,3.39,34.9,38.29,12
36400,3.39,35,38.39,12
36500,3.39,35.1,38.49,12
36600,3.39,35.2,38.59,12
36700,3.39,35.3,38.69,12
36800,3.39,35.4,38.79,12
36900,3.39,35.5,38.89,12
37000,3.39,35.6,38.99,12
37100,3.39,35.7,39.09,12
37200,3.39,35.8,39.19,12
37300,3.39,35.9,39.29,12
37400,3.39,36,39.39,12
37500,3.39,36.1,39.49,12
37600,3.39,36.2,39.59,12
37700,3.39,36.3,39.69,12
37800,3.39,36.4,39.79,12
37900,3.39,36.5,39.89,12
38000,3.39,36.6,39.99,12
38100,3.39,36.7,40.09,12
38200,3.39,36.8,40.19,12
38300,3.39,36.9,40.29,12
38400,3.39,37,40.39,12
38500,3.39,37.1,40.49,12
38600,3.39,37.2,40.59,12
38700,3.39,37.3,40.69,12
38800,3.39,37.4,40.79,12
38900,3.39,37.5,40.89,12
39000,3.39,37.6,40.99,12
39100,3.39,37.7,41.09,12
39200,3.39,37.8,41.19,12
39300,3.39,37.9,41.29,12
39400,3.39,38,41.39,12
39500,3.39,38.1,41.49,12
39600,3.39,38.2,41.59,12
39700,3.39,38.3,41.69,12
39800,3.39,38.4,41.79,12
39900,3.39,38.5,41.89,12
40000,3.39,38.6,41.99,12
40100,3.39,38.7,42.09,12
40200,3.39,38.8,42.19,12
40300,3.39,38.9,42.29,12
40400,3.39,39,42.39,12
40500,3.39,39.1,42.49,12
40600,3.39,39.2,42.59,12
40700,3.39,39.3,42.69,12
40800,3.39,39.4,42.79,12
40900,3.39,39.5,42.89,12
41000,3.39,39.6,42.99,12
41100,3.39,39.7,43.09,12
41200,3.39,39.8,43.19,12
41300,3.39,39.9,43.29,12
41400,3.39,40,43.39,12
41500,3.39,40.1,43.49,12
41600,3.39,40.2,43.59,12
41700,3.39,40.3,43.69,12
41800,3.39,40.4,43.79,12
41900,3.39,40.5,43.89,12
42000,3.39,40.6,43.99,12
42100,3.39,40.7,44.09,12
42200,3.39,40.8,44.19,12
42300,3.39,40.9,44.29,12
42400,3.39,41,44.39,12
42500,3.39,41.1,44.49,12
42600,3.39,41.2,44.59,12
42700,3.39,41.3,44.69,12
42800,3.39,41.4,44.79,12
42900,3.39,41.5,44.89,12
43000,3.39,41.6,44.99,12
43100,3.39,41.7,45.09,12
43200,3.39,41.8,45.19,12
43300,3.39,41.9,45.29,12
43400,3.39,42,45.39,12
43500,3.39,42.1,45.49,12
43600,3.39,42.2,45.59,12
43700,3.39,42.3,45.69,12
43800,3.39,42.4,45.79,12
43900,3.39,42.5,45.89,12
44000,3.39,42.6,45.99,12
44100,3.39,42.7,46.09,12
44200,3.39,42.8,46.19,12
44300,3.39,42.9,46.29,12
44400,3.39,43,46.39,12
44500,3.39,43.1,46.49,12
44600,3.39,43.2,46.59,12
44700,3.39,43.3,46.69,12
44800,3.39,43.4,46.79,12
44900,3.39,43.5,46.89,12
45000,3.39,43.6,46.99,12
45100,3.39,43.7,47.09,12
45200,3.39,43.8,47.19,12
45300,3.39,43.9,47.29,12
45400,3.39,44,47.39,12
45500,3.39,44.1,47.49,12
45600,3.39,44.2,47.59,12
45700,3.39,44.3,47.69,12
45800,3.39,44.4,47.79,12
45900,3.39,44.5,47.89,12
46000,3.39,44.6,47.99,12
46100,3.39,44.7,48.09,12
46200,3.39,44.8,48.19,12
46300,3.39,44.9,48.29,12
46400,3.39,45,48.39,12
46500,3.39,45.1,48.49,12
46600,3.39,45.2,48.59,12
46700,3.39,45.3,48.69,12
46800,3.39,45.4,48.79,12
46900,3.39,45.5,48.89,12
47000,3.39,45.6,48.99,12
47100,3.39,45.7,49.09,12
47200,3.39,45.8,49.19,12
47300,3.39,45.9,49.29,12
47400,3.39,46,49.39,12
47500,3.39,46.1,49.49,12
47600,3.39,46.2,49.59,12
47700,3.39,46.3,49.69,12
47800,3.39,46.4,49.79,12
47900,3.39,46.5,49.89,12
48000,3.39,46.6,49.99,12
48100,3.39,46.7,50.09,12
48200,3.39,46.8,50.19,12
48300,3.39,46.9,50.29,12
48400,3.39,47,50.39,12
48500,3.39,47.1,50.49,12
48600,3.39,47.2,50.59,12
48700,3.39,47.3,50.69,12
48800,3.39,47.4,50.79,12
48900,3.39,47.5,50.89,12
49000,3.39,47.6,50.99,12
49100,3.39,47.7,51.09,12
49200,3.39,47.8,51.19,12
49300,3.39,47.9,51.29,12
49400,3.39,48,51.39,12
49500,3.39,48.1,51.49,12
49600,3.39,48.2,51.59,12
49700,3.39,48.3,51.69,12
49800,3.39,48.4,51.79,12
49900,3.39,48.5,51.89,12
50000,3.39,48.6,51.99,12
50100,3.39,48.7,52.09,12
50200,3.39,48.8,52.19,12
50300,3.39,48.9,52.29,12
50400,3.39,49,52.39,12
50500,3.39,49.1,52.49,12
50600,3.39,49.2,52.59,12
50700,3.39,49.3,52.69,12
50800,3.39,49.4,52.79,12
50900,3.39,49.5,52.89,12
51000,3.39,49.6,52.99,12
51100,3.39,49.7,53.09,12
51200,3.39,49.8,53.19,12
51300,3.39,49.9,53.29,12
51400,3.39,50,53.39,12
51500,3.39,50.1,53.49,12
51600,3.39,50.2,53.59,12
51700,3.39,50.3,53.69,12
51800,3.39,50.4,53.79,12
51900,3.39,50.5,53.89,12
52000,3.39,50.6,53.99,12
52100,3.39,50.7,54.09,12
52200,3.39,50.8,54.19,12
52300,3.39,50.9,54.29,12
52400,3.39,51,54.39,12
52500,3.39,51.1,54.49,12
52600,3.39,51.2,54.59,12
52700,3.39,51.3,54.69,12
52800,3.39,51.4,54.79,12
52900,3.39,51.5,54.89,12
53000,3.39,51.6,54.99,12
53100,3.39,51.7,55.09,12
53200,3.39,51.8,55.19,12
53300,3.39,51.9,55.29,12
53400,3.39,52,55.39,12
53500,3.39,52.1,55.49,12
53600,3.39,52.2,55.59,12
53700,3.39,52.3,55.69,12
53800,3.39,52.4,55.79,12
53900,3.39,52.5,55.89,12
54000,3.39,52.6,55.99,12
54100,3.39,52.7,56.09,12
54200,3.39,52.8,56.19,12
54300,3.39,52.9,56.29,12
54400,3.39,53,56.39,12
54500,3.39,53.1,56.49,12
54600,3.39,53.2,56.59,12
54700,3.39,53.3,56.69,12
54800,3.39,53.4,56.79,12
54900,3.39,53.5,56.89,12
55000,3.39,53.6,56.99,12
55100,3.39,53.7,57.09,12
55200,3.39,53.8,57.19,12
55300,3.39,53.9,57.29,12
55400,3.39,54,57.39,12
55500,3.39,54.1,57.49,12
55600,3.39,54.2,57.59,12
55700,3.39,54.3,57.69,12
55800,3.39,54.4,57.79,12
55900,3.39,54.5,57.89,12
56000,3.39,54.6,57.99,12
56100,3.39,54.7,58.09,12
56200,3.39,54.8,58.19,12
56300,3.39,54.9,58.29,12
56400,3.39,55,58.39,12
56500,3.39,55.1,58.49,12
56600,3.39,55.2,58.59,12
56700,3.39,55.3,58.69,12
56800,3.39,55.4,58.79,12
56900,3.39,55.5,58.89,12
57000,3.39,55.6,58.99,12
57100,3.39,55.7,59.09,12
57200,3.39,55.8,59.19,12
57300,3.39,55.9,59.29,12
57400,3.39,56,59.39,12
57500,3.39,56.1,59.49,12
57600,3.39,56.2,59.59,12
57700,3.39,56.3,59.69,12
57800,3.39,56.4,59.79,12
57900,3.39,56.5,59.89,12
58000,3.39,56.6,59.99,12
58100,3.39,56.7,60.09,12
58200,3.39,56.8,60.19,12
58300,3.39,56.9,60.29,12
58400,3.39,57,60.39,12
58500,3.39,57.1,60.49,12
58600,3.39,57.2,60.59,12
58700,3.39,57.3,60.69,12
58800,3.39,57.4,60.79,12
58900,3.39,57.5,60.89,12
59000,3.39,57.6,60.99,12
59100,3.39,57.7,61.09,12
59200,3.39,57.8,61.19,12
59300,3.39,57.9,61.29,12
59400,3.39,58,61.39,12
59500,3.39,58.1,61.49,12
59600,3.39,58.2,61.59,12
59700,3.39,58.3,61.69,12
59800,3.39,58.4,61.79,12
59900,3.39,58.5,61.89,12
60000,3.39,58.6,61.99,12
60100,3.39,58.7,62.09,12
60200,3.39,58.8,62.19,12
60300,3.39,58.9,62.29,12
60400,3.39,59,62.39,12
60500,3.39,59.1,62.49,12
60600,3.39,59.2,62.59,12
60700,3.39,59.3,62.69,12
60800,3.39,59.4,62.79,12
60900,3.39,59.5,62.89,12
61000,3.39,59.6,62.99,12
61100,3.39,59.7,63.09,12
61200,3.39,59.8,63.19,12
61300,3.39,59.9,63.29,12
61400,3.39,60,63.39,12
61500,3.39,60.1,63.49,12
61600,3.39,60.2,63.59,12
61700,3.39,60.3,63.69,12
61800,3.39,60.4,63.79,12
61900,3.39,60.5,63.89,12
62000,3.39,60.6,63.99,12
62100,3.39,60.7,64.09,12
62200,3.39,60.8,64.19,12
62300,3.39,60.9,64.29,12
62400,3.39,61,64.39,12
62500,3.39,61.1,64.49,12
62600,3.39,61.2,64.59,12
62700,3.39,61.3,64.69,12
62800,3.39,61.4,64.79,12
62900,3.39,61.5,64.89,12
63000,3.39,61.6,64.99,12
63100,3.39,61.7,65.09,12
63200,3.39,61.8,65.19,12
63300,3.39,61.9,65.29,12
63400,3.39,62,65.39,12
63500,3.39,62.1,65.49,12
63600,3.39,62.2,65.59,12
63700,3.39,62.3,65.69,12
63800,3.39,62.4,65.79,12
63900,3.39,62.5,65.89,12
64000,3.39,62.6,65.99,12
64100,3.39,62.7,66.09,12
64200,3.39,62.8,66.19,12
64300,3.39,62.9,66.29,12
64400,3.39,63,66.39,12
64500,3.39,63.1,66.49,12
64600,3.39,63.2,66.59,12
64700,3.39,63.3,66.69,12
64800,3.39,63.4,66.79,12
64900,3.39,63.5,66.89,12
65000,3.39,63.6,66.99,12
65100,3.39,63.7,67.09,12
65200,3.39,63.8,67.19,12
65300,3.39,63.9,67.29,12
65400,3.39,64,67.39,12
65500,3.39,64.1,67.49,12
65600,3.39,64.2,67.59,12
65700,3.39,64.3,67.69,12
65800,3.39,64.4,67.79,12
65900,3.39,64.5,67.89,12
66000,3.39,64.6,67.99,12
66100,3.39,64.7,68.09,12
66200,3.39,64.8,68.19,12
66300,3.39,64.9,68.29,12
66400,3.39,65,68.39,12
66500,3.39,65.1,68.49,12
66600,3.39,65.2,68.59,12
66700,3.39,65.3,68.69,12
66800,3.39,65.4,68.79,12
66900,3.39,65.5,68.89,12
67000,3.39,65.6,68.99,12
67100,3.39,65.7,69.09,12
67200,3.39,65.8,69.19,12
67300,3.39,65.9,69.29,12
67400,3.39,66,69.39,12
67500,3.39,66.1,69.49,12
67600,3.39,66.2,69.59,12
67700,3.39,66.3,69.69,12
67800,3.39,66.4,69.79,12
67900,3.39,66.5,69.89,12
68000,3.39,66.6,69.99,12
68100,3.39,66.7,70.09,12
68200,3.39,66.8,70.19,12
68300,3.39,66.9,70.29,12
68400,3.39,67,70.39,12
68500,3.39,67.1,70.49,12
68600,3.39,67.2,70.59,12
68700,3.39,67.3,70.69,12
68800,3.39,67.4,70.79,12
68900,3.39,67.5,70.89,12
69000,3.39,67.6,70.99,12
69100,3.39,67.7,71.09,12
69200,3.39,67.8,71.19,12
69300,3.39,67.9,71.29,12
69400,3.39,68,71.39,12
69500,3.39,68.1,71.49,12
69600,3.39,68.2,71.59,12
69700,3.39,68.3,71.69,12
69800,3.39,68.4,71.79,12
69900,3.39,68.5,71.89,12
70000,3.39,68.6,71.99,12
70100,3.39,68.7,72.09,12
70200,3.39,68.8,72.19,12
70300,3.39,68.9,72.29,12
70400,3.39,69,72.39,12
70500,3.39,69.1,72.49,12
70600,3.39,69.2,72.59,12
70700,3.39,69.3,72.69,12
70800,3.39,69.4,72.79,12
70900,3.39,69.5,72.89,12
71000,3.39,69.6,72.99,12
71100,3.39,69.7,73.09,12
71200,3.39,69.8,73.19,12
71300,3.39,69.9,73.29,12
71400,3.39,70,73.39,12
71500,3.39,70.1,73.49,12
71600,3.39,70.2,73.59,12
71700,3.39,70.3,73.69,12
71800,3.39,70.4,73.79,12
71900,3.39,70.5,73.89,12
72000,3.39,70.6,73.99,12
72100,3.39,70.7,74.09,12
72200,3.39,70.8,74.19,12
72300,3.39,70.9,74.29,12
72400,3.39,71,74.39,12
72500,3.39,71.1,74.49,12
72600,3.39,71.2,74.59,12
72700,3.39,71.3,74.69,12
72800,3.39,71.4,74.79,12
72900,3.39,71.5,74.89,12
73000,3.39,71.6,74.99,12
73100,3.39,71.7,75.09,12
73200,3.39,71.8,75.19,12
73300,3.39,71.9,75.29,12
73400,3.39,72,75.39,12
73500,3.39,72.1,75.49,12
73600,3.39,72.2,75.59,12
73700,3.39,72.3,75.69,12
73800,3.39,72.4,75.79,12
73900,3.39,72.5,75.89,12
74000,3.39,72.6,75.99,12
74100,3.39,72.7,76.09,12
74200,3.39,72.8,76.19,12
74300,3.39,72.9,76.29,12
74400,3.39,73,76.39,12
74500,3.39,73.1,76.49,12
74600,3.39,73.2,76.59,12
74700,3.39,73.3,76.69,12
74800,3.39,73.4,76.79,12
74900,3.39,73.5,76.89,12
75000,3.39,73.6,76.99,12
75100,3.39,73.7,77.09,12
75200,3.39,73.8,77.19,12
75300,3.39,73.9,77.29,12
75400,3.39,74,77.39,12
75500,3.39,74.1,77.49,12
75600,3.39,74.2,77.59,12
75700,3.39,74.3,77.69,12
75800,3.39,74.4,77.79,12
75900,3.39,74.5,77.89,12
76000,3.39,74.6,77.99,12
76100,3.39,74.7,78.09,12
76200,3.39,74.8,78.19,12
76300,3.39,74.9,78.29,12
76400,3.39,75,78.39,12
76500,3.39,75.1,78.49,12
76600,3.39,75.2,78.59,12
76700,3.39,75.3,78.69,12
76800,3.39,75.4,78.79,12
76900,3.39,75.5,78.89,12
77000,3.39,75.6,78.99,12
77100,3.39,75.7,79.09,12
77200,3.39,75.8,79.19,12
77300,3.39,75.9,79.29,12
77400,3.39,76,79.39,12
77500,3.39,76.1,79.49,12
77600,3.39,76.2,79.59,12
77700,3.39,76.3,79.69,12
77800,3.39,76.4,79.79,12
77900,3.39,76.5,79.89,12
78000,3.39,76.6,79.99,12
78100,3.39,76.7,80.09,12
78200,3.39,76.8,80.19,12
78300,3.39,76.9,80.29,12
78400,3.39,77,80.39,12
78500,3.39,77.1,80.49,12
78600,3.39,77.2,80.59,12
78700,3.39,77.3,80.69,12
78800,3.39,77.4,80.79,12
78900,3.39,77.5,80.89,12
79000,3.39,77.6,80.99,12
79100,3.39,77.7,81.09,12
79200,3.39,77.8,81.19,12
79300,3.39,77.9,81.29,12
79400,3.39,78,81.39,12
79500,3.39,78.1,81.49,12
79600,3.39,78.2,81.59,12
79700,3.39,78.3,81.69,12
79800,3.39,78.4,81.79,12
79900,3.39,78.5,81.89,12
80000,3.39,78.6,81.99,12
80100,3.39,78.7,82.09,12
80200,3.39,78.8,82.19,12
80300,3.39,78.9,82.29,12
80400,3.39,79,82.39,12
80500,3.39,79.1,82.49,12
80600,3.39,79.2,82.59,12
80700,3.39,79.3,82.69,12
80800,3.39,79.4,82.79,12
80900,3.39,79.5,82.89,12
81000,3.39,79.6,82.99,12
81100,3.39,79.7,83.09,12
81200,3.39,79.8,83.19,12
81300,3.39,79.9,83.29,12
81400,3.39,80,83.39,12
81500,3.39,80.1,83.49,12
81600,3.39,80.2,83.59,12
81700,3.39,80.3,83.69,12
81800,3.39,80.4,83.79,12
81900,3.39,80.5,83.89,12
82000,3.39,80.6,83.99,12
82100,3.39,80.7,84.09,12
