"NAME","B25009_001E","B11002_001E","B23025_004E","B23025_006E","B19001_001E","B19001_002E","B19001_003E","B19001_004E","B19001_005E","B19001_006E","B19001_007E","B19001_008E","B19001_009E","B19001_010E","B19001_011E","B19001_012E","B19001_013E","B19001_014E","B19001_015E","B19001_016E","B19001_017E","B01001_003E","B01001_004E","B01001_005E","B01001_006E","B01001_007E","B01001_008E","B01001_009E","B01001_010E","B01001_011E","B01001_012E","B01001_013E","B01001_014E","B01001_015E","B01001_016E","B01001_017E","B01001_018E","B01001_019E","B01001_020E","B01001_021E","B01001_022E","B01001_023E","B01001_024E","B01001_025E","B01001_027E","B01001_028E","B01001_029E","B01001_030E","B01001_031E","state","county","tract","block group"
"Block Group 1, Census Tract 4371.02, Alameda County, California",535,1353,619,0,535,82,63,23,28,37,34,0,0,79,3,81,33,52,7,13,0,40,14,29,50,18,0,15,47,71,82,46,55,65,17,61,0,7,20,28,8,8,15,7,12,63,12,40,11,"06","001","437102","1"
"Block Group 2, Census Tract 4371.02, Alameda County, California",549,1936,953,0,549,0,0,8,20,7,7,0,42,28,47,54,96,88,77,55,20,66,29,26,48,47,29,14,72,34,31,33,42,75,99,44,10,23,39,8,20,9,35,10,29,70,69,51,58,"06","001","437102","2"
"Block Group 3, Census Tract 4371.02, Alameda County, California",341,1289,716,0,341,0,0,9,7,13,0,0,0,0,52,16,144,38,36,19,7,8,35,22,2,32,0,24,33,40,135,14,24,19,43,38,39,11,0,10,24,0,0,1,50,34,0,44,0,"06","001","437102","3"
"Block Group 1, Census Tract 4377.01, Alameda County, California",185,629,275,0,185,0,0,23,16,27,0,34,0,0,10,30,6,15,16,0,8,18,54,19,39,0,0,0,0,33,18,39,0,29,23,0,27,0,0,0,0,0,0,0,20,106,16,0,0,"06","001","437701","1"
"Block Group 3, Census Tract 4377.01, Alameda County, California",252,996,350,0,252,22,12,0,11,0,0,63,23,0,29,50,10,32,0,0,0,70,56,34,0,22,0,0,54,65,57,16,26,11,23,9,13,0,0,0,0,0,0,0,48,50,60,27,13,"06","001","437701","3"
"Block Group 2, Census Tract 4377.01, Alameda County, California",638,2086,1198,0,638,64,57,5,0,30,19,0,46,25,59,104,101,55,14,42,17,36,48,60,34,28,45,0,97,98,105,183,74,27,91,48,22,28,19,44,6,15,0,0,76,106,86,65,15,"06","001","437701","2"
"Block Group 1, Census Tract 4371.01, Alameda County, California",959,3422,2106,0,959,9,0,0,18,0,10,0,0,0,25,26,183,90,87,234,277,70,136,151,39,40,30,19,77,102,168,106,176,82,71,202,31,41,34,16,62,21,9,0,111,91,63,9,28,"06","001","437101","1"
"Block Group 2, Census Tract 4371.01, Alameda County, California",515,1841,819,0,515,0,0,8,33,16,45,24,0,20,18,43,94,78,17,66,53,35,18,74,97,44,0,0,5,22,58,30,131,40,141,50,11,0,4,10,17,33,9,64,9,52,100,52,15,"06","001","437101","2"
"Block Group 3, Census Tract 4371.01, Alameda County, California",467,1888,845,0,467,8,28,54,26,0,8,0,40,28,52,36,29,77,36,17,28,20,79,84,22,46,20,0,30,57,56,29,60,205,53,84,0,10,0,38,17,61,0,0,27,53,105,50,0,"06","001","437101","3"
"Block Group 1, Census Tract 4507.44, Alameda County, California",1010,3409,1598,0,1010,17,0,0,6,19,7,9,9,10,96,51,101,108,125,254,198,144,171,232,53,17,0,0,19,7,36,181,148,120,181,108,9,42,8,25,53,18,0,20,147,183,119,184,62,"06","001","450744","1"
"Block Group 2, Census Tract 4507.44, Alameda County, California",892,2503,1143,0,892,34,0,9,0,34,31,26,28,0,53,43,86,60,81,237,170,29,34,91,48,11,22,8,70,0,17,51,97,87,117,111,39,29,28,20,17,71,55,80,46,68,136,28,36,"06","001","450744","2"
"Block Group 1, Census Tract 4507.52, Alameda County, California",1632,5854,2791,0,1632,8,8,0,19,38,9,22,19,13,19,73,71,140,110,285,798,261,282,307,116,0,25,0,118,189,132,230,330,239,201,154,61,99,66,27,46,42,58,14,162,257,330,103,35,"06","001","450752","1"
"Block Group 1, Census Tract 4507.51, Alameda County, California",2711,8963,4307,0,2711,30,23,6,18,4,11,0,28,0,23,23,116,223,296,586,1324,390,524,430,123,23,40,20,31,82,285,516,741,410,262,109,8,127,42,27,83,51,29,13,370,512,453,58,57,"06","001","450751","1"
"Block Group 1, Census Tract 4507.50, Alameda County, California",2095,4844,2650,0,2095,120,55,47,62,25,65,63,56,39,38,138,261,203,299,180,444,177,190,204,46,16,41,25,0,157,252,327,223,116,123,131,30,45,79,46,46,27,0,23,197,229,108,54,0,"06","001","450750","1"
"Block Group 1, Census Tract 4505.02, Alameda County, California",848,2557,1414,0,848,9,0,11,9,10,8,19,24,19,10,23,73,90,123,145,275,125,70,58,78,39,45,52,26,82,29,70,77,132,102,64,33,55,24,59,39,19,14,0,91,96,61,34,22,"06","001","450502","1"
"Block Group 2, Census Tract 4505.02, Alameda County, California",1019,2995,1545,0,1019,8,0,0,0,0,23,34,10,35,18,69,57,75,147,179,364,170,100,80,107,5,0,2,10,113,86,91,159,121,153,114,29,60,28,30,50,19,34,2,68,157,70,24,46,"06","001","450502","2"
