"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Driving age student","Number of Escorting Tasks","1","Share of Persons",0.025958092668325
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Full-time worker","Number of Escorting Tasks","1","Share of Persons",0.0355819470905004
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-driving student","Number of Escorting Tasks","1","Share of Persons",0.0264757919628616
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working adult","Number of Escorting Tasks","1","Share of Persons",0.0782980694768177
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working senior","Number of Escorting Tasks","1","Share of Persons",0.0452707129341234
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Part-time worker","Number of Escorting Tasks","1","Share of Persons",0.0601718810423996
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Pre-school","Number of Escorting Tasks","1","Share of Persons",0.0785496285989991
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","University student","Number of Escorting Tasks","1","Share of Persons",0.0442379695667663
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Driving age student","Number of Escorting Tasks","2","Share of Persons",0.0041485728740672
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Full-time worker","Number of Escorting Tasks","2","Share of Persons",0.0147130441625798
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-driving student","Number of Escorting Tasks","2","Share of Persons",0.00348215056115078
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working adult","Number of Escorting Tasks","2","Share of Persons",0.0790166739164171
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working senior","Number of Escorting Tasks","2","Share of Persons",0.0189417923576468
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Part-time worker","Number of Escorting Tasks","2","Share of Persons",0.0368309010426248
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Pre-school","Number of Escorting Tasks","2","Share of Persons",0.0600973945827069
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","University student","Number of Escorting Tasks","2","Share of Persons",0.0248656822758766
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Driving age student","Number of Escorting Tasks","0","Share of Persons",0.969893334457608
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Full-time worker","Number of Escorting Tasks","0","Share of Persons",0.94970500874692
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-driving student","Number of Escorting Tasks","0","Share of Persons",0.970042057475988
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working adult","Number of Escorting Tasks","0","Share of Persons",0.842685256606765
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Non-working senior","Number of Escorting Tasks","0","Share of Persons",0.93578749470823
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Part-time worker","Number of Escorting Tasks","0","Share of Persons",0.902997217914976
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","Pre-school","Number of Escorting Tasks","0","Share of Persons",0.861352976818294
"CHTS","Share of persons by number of escorting tasks within person type","Person Type","University student","Number of Escorting Tasks","0","Share of Persons",0.930896348157357
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Driving age student","Number of Shopping Tasks","1","Share of Persons",0.0190480205742232
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Full-time worker","Number of Shopping Tasks","1","Share of Persons",0.0453559663533982
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Non-driving student","Number of Shopping Tasks","1","Share of Persons",0.0312693019723359
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Non-working adult","Number of Shopping Tasks","1","Share of Persons",0.147998877753918
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Non-working senior","Number of Shopping Tasks","1","Share of Persons",0.213167754300821
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Part-time worker","Number of Shopping Tasks","1","Share of Persons",0.0814268604489632
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Pre-school","Number of Shopping Tasks","1","Share of Persons",0.07876468960152
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","University student","Number of Shopping Tasks","1","Share of Persons",0.0710448065025046
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Driving age student","Number of Shopping Tasks","2","Share of Persons",0.00268561069185042
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Full-time worker","Number of Shopping Tasks","2","Share of Persons",0.00397337357284792
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Non-driving student","Number of Shopping Tasks","2","Share of Persons",0.000134980321065217
"CHTS","Share of persons by number of shopping tasks within person type","Person Type","Non-working adult","Number of Shopping Tasks","2","Share of Persons",0.0151556734202743
