"source","estimate","dimension_01_name","dimension_01_value","dimension_02_name","dimension_02_value","estimate_name","estimate_value"
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","1","Share of Tours",0.51086544824778
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","2","Share of Tours",0.37307678976322
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","3","Share of Tours",0.0860458764948372
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","4","Share of Tours",0.0124293942303612
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","5","Share of Tours",0.0110158094501643
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","6","Share of Tours",0.00261511354261695
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","7","Share of Tours",0.00325305754238625
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","8","Share of Tours",0.000269857358655444
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","9","Share of Tours",0.00016014387598152
"CHTS","Share of At-Work tours by person type and duration","Person Type","Full-time worker","Duration in Hours","11","Share of Tours",0.000268509493997744
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","1","Share of Tours",0.475170212391198
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","2","Share of Tours",0.333794080701096
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","3","Share of Tours",0.150026804729641
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","4","Share of Tours",0.00972345055753839
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","5","Share of Tours",0.00220388875864589
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","6","Share of Tours",0.00269264660807049
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","7","Share of Tours",0.0233511160370713
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","9","Share of Tours",0.00107804958092662
"CHTS","Share of At-Work tours by person type and duration","Person Type","Part-time worker","Duration in Hours","10","Share of Tours",0.00195975063581237
"CHTS","Share of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","1","Share of Tours",0.564312615988978
"CHTS","Share of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","2","Share of Tours",0.425094009260531
"CHTS","Share of At-Work tours by person type and duration","Person Type","University student","Duration in Hours","3","Share of Tours",0.0105933747504911
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","1","Share of Tours",0.0290242718770941
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","2","Share of Tours",0.250099727273112
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","3","Share of Tours",0.275913066208547
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","4","Share of Tours",0.223601674095906
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","5","Share of Tours",0.0716582789305974
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","6","Share of Tours",0.00486648947780888
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","7","Share of Tours",0.12144022338363
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","8","Share of Tours",0.0210413796579881
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Driving age student","Duration in Hours","12","Share of Tours",0.00235488909531568
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","1","Share of Tours",0.145316058534559
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","2","Share of Tours",0.266856720600541
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","3","Share of Tours",0.285094583712811
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","4","Share of Tours",0.136315646882591
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","5","Share of Tours",0.0822773930896566
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","6","Share of Tours",0.025280101450543
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","7","Share of Tours",0.0249331414721484
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","8","Share of Tours",0.00791981971673055
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","9","Share of Tours",0.00367745543867053
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","10","Share of Tours",0.00510589825343371
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","11","Share of Tours",0.00631967990126537
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","12","Share of Tours",0.00193624793052516
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","13","Share of Tours",0.00690523798044634
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","14","Share of Tours",0.00147585077820537
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","16","Share of Tours",0.000264941644170597
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Full-time worker","Duration in Hours","17","Share of Tours",0.000321222613702446
"CHTS","Share of Discretionary tours by person type and duration","Person Type","Non-driving student","Duration in Hours","1","Share of Tours",0.0583444551551525
