naicssix,DESC_,steelhead,naics2,remi70,US2detailed,sixcat
111110,SOYBEAN FARMING,ag,11,70,agnat,AGREMPN
111120,OILSEED (EXCEPT SOYBEAN) FARMING,ag,11,70,agnat,AGREMPN
111130,DRY PEA AND BEAN FARMING,ag,11,70,agnat,AGREMPN
111140,WHEAT FARMING,ag,11,70,agnat,AGREMPN
111150,CORN FARMING,ag,11,70,agnat,AGREMPN
111160,RICE FARMING,ag,11,70,agnat,AGREMPN
111199,ALL OTHER GRAIN FARMING,ag,11,70,agnat,AGREMPN
111211,POTATO FARMING,ag,11,70,agnat,AGREMPN
111219,OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,ag,11,70,agnat,AGREMPN
111310,ORANGE GROVES,ag,11,70,agnat,AGREMPN
111320,CITRUS (EXCEPT ORANGE) GROVES,ag,11,70,agnat,AGREMPN
111331,APPLE ORCHARDS,ag,11,70,agnat,AGREMPN
111332,GRAPE VINEYARDS,ag,11,70,agnat,AGREMPN
111333,STRAWBERRY FARMING,ag,11,70,agnat,AGREMPN
111334,BERRY (EXCEPT STRAWBERRY) FARMING,ag,11,70,agnat,AGREMPN
111335,TREE NUT FARMING,ag,11,70,agnat,AGREMPN
111336,FRUIT AND TREE NET COMBINATION FARMING,ag,11,70,agnat,AGREMPN
111339,OTHER NONCITRUS FRUIT FARMING,ag,11,70,agnat,AGREMPN
111411,MUSHROOM PRODUCTION,ag,11,70,agnat,AGREMPN
111419,OTHER FOOD CROPS GROWN UNDER COVER,ag,11,70,agnat,AGREMPN
111421,NURSERY AND TREE PRODUCTION,ag,11,70,agnat,AGREMPN
111422,FLORICULTURE PRODUCTION,ag,11,70,agnat,AGREMPN
111910,TOBACCO FARMING,ag,11,70,agnat,AGREMPN
111920,COTTON FARMING,ag,11,70,agnat,AGREMPN
111930,SUGARCANE FARMING,ag,11,70,agnat,AGREMPN
111940,HAY FARMING,ag,11,70,agnat,AGREMPN
111991,SUGAR BEET FARMING,ag,11,70,agnat,AGREMPN
111992,PEANUT FARMING,ag,11,70,agnat,AGREMPN
111998,ALL OTHER MISCELLANEOUS CROP FARMING,ag,11,70,agnat,AGREMPN
112111,BEEF CATTLE RANCHING AND FARMING,ag,11,70,agnat,AGREMPN
112112,CATTLE FEEDLOTS,ag,11,70,agnat,AGREMPN
112120,DAIRY CATTLE AND MILK PRODUCTION,ag,11,70,agnat,AGREMPN
112210,HOG AND PIG FARMING,ag,11,70,agnat,AGREMPN
112310,CHICKEN EGG PRODUCTION,ag,11,70,agnat,AGREMPN
112320,BROILERS AND OTHER MEAT-TYPE CHICKEN PRODUCTION,ag,11,70,agnat,AGREMPN
112330,TURKEY PRODUCTION,ag,11,70,agnat,AGREMPN
112340,POULTRY HATCHERIES,ag,11,70,agnat,AGREMPN
112390,OTHER POULTRY PRODUCTION,ag,11,70,agnat,AGREMPN
112410,SHEEP FARMING,ag,11,70,agnat,AGREMPN
112420,GOAT FARMING,ag,11,70,agnat,AGREMPN
112511,FINFISH FARMING AND FISH HATCHERIES,ag,11,70,agnat,AGREMPN
112512,SHELLFISH FARMING,ag,11,70,agnat,AGREMPN
112519,OTHER AQUACULTURE,ag,11,70,agnat,AGREMPN
112910,APICULTURE,ag,11,70,agnat,AGREMPN
112920,HORSE AND OTHER EQUINE PRODUCTION,ag,11,70,agnat,AGREMPN
112930,FUR-BEARING ANIMAL AND RABBIT PRODUCTION,ag,11,70,agnat,AGREMPN
112990,ALL OTHER ANIMAL PRODUCTION,ag,11,70,agnat,AGREMPN
113110,TIMBER TRACT OPERATIONS,ag,11,1,agnat,AGREMPN
113210,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS,ag,11,1,agnat,AGREMPN
113310,LOGGING,ag,11,1,agnat,AGREMPN
114111,FINFISH FISHING,ag,11,1,agnat,AGREMPN
114112,SHELLFISH FISHING,ag,11,1,agnat,AGREMPN
114119,OTHER MARINE FISHING,ag,11,1,agnat,AGREMPN
114210,HUNTING AND TRAPPING,ag,11,1,agnat,AGREMPN
115111,COTTON GINNING,ag,11,2,agnat,AGREMPN
