Description,Target,Expression
#,,
local,_DF_IS_TOUR,'tour_type' in df.columns
,number_of_participants,df.number_of_participants if _DF_IS_TOUR else 1
,is_joint,(df.tour_category=='joint') if _DF_IS_TOUR else False
#,,
 local,_HAVE_PARENT_TOURS,('parent_tour_id' in df.columns) or ('tours' in locals() and 'parent_tour_id' in tours.columns)
,_parent_tour_mode,"reindex(tours.tour_mode, df.parent_tour_id) if 'parent_tour_id' in df.columns else reindex(tours.tour_mode, reindex(tours.parent_tour_id, df.index)) if _HAVE_PARENT_TOURS else ''"
,work_tour_is_drive,"_parent_tour_mode.isin(['DRIVEALONEFREE','DRIVEALONEPAY'])"
,work_tour_is_bike,_parent_tour_mode=='BIKE'
,work_tour_is_SOV,"_parent_tour_mode.isin(['DRIVEALONEFREE','DRIVEALONEPAY'])"
#,,
,is_mandatory,(df.tour_category=='mandatory') if 'tour_category' in df.columns else False
,is_joint,(df.tour_category=='joint') if 'tour_category' in df.columns else False
,is_indiv,~is_joint
,is_atwork_subtour,"(df.tour_category=='atwork') if 'tour_category' in df.columns else (reindex(tours.tour_category, df.index)=='atwork') if 'tours' in locals() else False"
,is_escort,(df.tour_type == 'escort') if _DF_IS_TOUR else False
,is_work_tour,(df.tour_type == 'work') if _DF_IS_TOUR else False
# FIXME why inverse of value of time? need better name?,,
#,c_cost,(0.60 * c_ivt) / df.value_of_time
# ivot * (c_ivt_cost_multiplier * c_ivt)
,ivot,1.0 / df.value_of_time
#,,
,dest_topology,"reindex(land_use.TOPOLOGY, df[dest_col_name])"
,terminal_time,"reindex(land_use.TERMINAL, df[dest_col_name])"
,dest_density_index,"reindex(land_use.density_index, df[dest_col_name])"
,origin_density_index,"reindex(land_use.density_index, df[orig_col_name])"
# CT-RAMP walk-to-transit subzones -- shares from walkAccessBuffers.float.csv carried in land_use.,,
# One segment per (household. zone) via deterministic hash draw; mirrors CT-RAMP sampling once,,
# per household home zone and once per person-location (Household.java / Person.java).,,
# Segments: 1 = short walk. 2 = long walk. 0 = cannot walk to transit.,,
,_orig_short_share,"reindex(land_use.walk_short_share, df[orig_col_name])"
,_orig_long_share,"reindex(land_use.walk_long_share, df[orig_col_name])"
,_dest_short_share,"reindex(land_use.walk_short_share, df[dest_col_name])"
,_dest_long_share,"reindex(land_use.walk_long_share, df[dest_col_name])"
# Hash key: household_id (suffixed household_id_x in some merges; person-indexed choosers fall back to index).,,
,_wsk_hh,"df.get('household_id', df.get('household_id_x', pd.Series(df.index, index=df.index))).to_numpy().astype(np.uint64)"
