MAZ,add_univ_0005,add_mil_0005,add_othnon_0005,add_univ_0510,add_mil_0510,add_othnon_0510,add_univ_1015,add_mil_1015,add_othnon_1015,notes
10001,0,0,0,0,0,0,0,0,0,
10002,0,0,0,0,0,0,0,0,0,
10003,0,0,0,0,0,0,0,0,0,
10004,0,0,0,0,0,0,0,0,0,
10005,0,0,0,0,0,0,0,0,0,
10006,0,0,0,0,0,0,0,0,0,
10007,0,0,0,0,0,0,0,0,0,
10009,0,0,0,0,0,0,0,0,0,
10012,0,0,0,0,0,0,0,0,0,
10017,0,0,0,0,0,0,0,0,0,
10018,0,0,0,0,0,0,0,0,0,
10021,0,0,0,0,0,0,0,0,0,
10022,0,0,0,0,0,0,0,0,0,
10023,0,0,0,0,0,0,0,0,0,
10024,0,0,0,0,0,0,0,0,0,
10025,0,0,0,0,0,0,0,0,0,
10030,0,0,0,0,0,0,0,0,0,
10038,0,0,0,0,0,0,0,0,0,
10039,0,0,0,0,0,0,0,0,0,
10044,0,0,0,0,0,0,0,0,0,
10045,0,0,0,0,0,0,0,0,0,
10047,0,0,0,0,0,0,0,0,0,
10048,0,0,0,0,0,0,0,0,0,
10049,0,0,0,0,0,0,0,0,0,
10052,0,0,0,0,0,0,0,0,0,
10053,0,0,0,0,0,0,0,0,0,
10054,0,0,0,0,0,0,0,0,0,
10055,0,0,0,0,0,0,0,0,0,
10056,0,0,0,0,0,0,0,0,0,
10060,0,0,0,0,0,0,0,0,0,
10062,0,0,0,0,0,0,0,0,0,
10063,0,0,0,0,0,0,0,0,0,
10064,0,0,0,0,0,0,0,0,0,
10065,0,0,0,0,0,0,0,0,0,
10071,0,0,0,0,0,0,0,0,0,
10072,0,0,0,0,0,0,0,0,0,
10073,0,0,0,0,0,0,0,0,0,
10074,0,0,0,0,0,0,0,0,0,
10075,0,0,0,0,0,0,0,0,0,
10076,0,0,0,0,0,0,0,0,0,
10077,0,0,0,0,0,0,0,0,0,
10078,0,0,0,0,0,0,0,0,0,
10079,0,0,0,0,0,0,0,0,0,
10084,0,0,0,0,0,0,0,0,0,
10086,0,0,0,0,0,0,0,0,0,
10087,0,0,0,0,0,0,0,0,0,
10094,0,0,0,0,0,0,0,0,0,
10098,0,0,0,0,0,0,0,0,0,
10099,0,0,0,0,0,0,0,0,0,
10101,0,0,0,0,0,0,0,0,0,
10102,0,0,0,0,0,0,0,0,0,
10104,0,0,0,0,0,0,0,0,0,
10107,0,0,0,0,0,0,0,0,0,
10109,0,0,0,0,0,0,0,0,0,
10110,0,0,0,0,0,0,0,0,0,
10111,0,0,0,0,0,0,0,0,0,
10112,0,0,0,0,0,0,0,0,0,
10114,0,0,0,0,0,0,0,0,0,
10116,0,0,0,0,0,0,0,0,0,
10117,0,0,0,0,0,0,0,0,0,
10119,0,0,0,0,0,0,0,0,0,
10122,0,0,0,0,0,0,0,0,0,
10123,0,0,0,0,0,0,0,0,0,
10124,0,0,0,0,0,0,0,0,0,
10125,0,0,0,0,0,0,0,0,0,
10127,0,0,0,0,0,0,0,0,0,
10128,0,0,0,0,0,0,0,0,0,
10130,0,0,0,0,0,0,0,0,0,
10133,0,0,0,0,0,0,0,0,0,
10137,0,0,0,0,0,0,0,0,0,
10138,0,0,0,0,0,0,0,0,0,
10140,0,0,0,0,0,0,0,0,0,
10141,0,0,0,0,0,0,0,0,0,
10142,0,0,0,0,0,0,0,0,0,
10143,0,0,0,0,0,0,0,0,0,
10144,0,0,0,0,0,0,0,0,0,
10147,0,0,0,0,0,0,0,0,0,
10150,0,0,0,0,0,0,0,0,0,
10151,0,0,0,0,0,0,0,0,0,
10153,0,0,0,0,0,0,0,0,0,
10157,0,0,0,0,0,0,0,0,0,
10159,0,0,0,0,0,0,0,0,0,
10160,0,0,0,0,0,0,0,0,0,
10161,0,0,0,0,0,0,0,0,0,
10162,0,0,0,0,0,0,0,0,0,
10163,0,0,0,0,0,0,0,0,0,
10164,0,0,0,0,0,0,0,0,0,
10165,0,0,0,0,0,0,0,0,0,
10167,0,0,0,0,0,0,0,0,0,
10168,0,0,0,0,0,0,0,0,0,
10169,0,0,0,0,0,0,0,0,0,
10170,0,0,0,0,0,0,0,0,0,
10172,0,0,0,0,0,0,0,0,0,
10173,0,0,0,0,0,0,0,0,0,
10179,0,0,0,0,0,0,0,0,0,
10180,0,0,0,0,0,0,0,0,0,
10181,0,0,0,0,0,0,0,0,0,
10184,0,0,0,0,0,0,0,0,0,
10185,0,0,0,0,0,0,0,0,0,
10187,0,0,0,0,0,0,0,0,0,
10190,0,0,0,0,0,0,0,0,0,
10192,0,0,0,0,0,0,0,0,0,
10193,0,0,0,0,0,0,0,0,0,
10194,0,0,0,0,0,0,0,0,0,
10195,0,0,0,0,0,0,0,0,0,
10197,0,0,0,0,0,0,0,0,0,
10198,0,0,0,0,0,0,0,0,0,
10200,0,0,0,0,0,0,0,0,0,
10201,0,0,0,0,0,0,0,0,0,
10202,0,0,0,0,0,0,0,0,0,
10203,0,0,0,0,0,0,0,0,0,
10204,0,0,0,0,0,0,0,0,0,
10206,0,0,0,0,0,0,0,0,0,
10207,0,0,0,0,0,0,0,0,0,
10208,0,0,0,0,0,0,0,0,0,
10209,0,0,0,0,0,0,0,0,0,
10210,0,0,0,0,0,0,0,0,0,
10211,0,0,0,0,0,0,0,0,0,
10212,0,0,0,0,0,0,0,0,0,
10213,0,0,0,0,0,0,0,0,0,
10214,0,0,0,0,0,0,0,0,0,
10215,0,0,0,0,0,0,0,0,0,
10218,0,0,0,0,0,0,0,0,0,
10219,0,0,0,0,0,0,0,0,0,
10222,0,0,0,0,0,0,0,0,0,
10223,0,0,0,0,0,0,0,0,0,
10224,0,0,0,0,0,0,0,0,0,
10225,0,0,0,0,0,0,0,0,0,
10226,0,0,0,0,0,0,0,0,0,
10227,0,0,0,0,0,0,0,0,0,
10228,0,0,0,0,0,0,0,0,0,
10229,0,0,0,0,0,0,0,0,0,
10230,0,0,0,0,0,0,0,0,0,
10231,0,0,0,0,0,0,0,0,0,
10232,0,0,0,0,0,0,0,0,0,
10233,0,0,0,0,0,0,0,0,0,
10234,0,0,0,0,0,0,0,0,0,
10235,0,0,0,0,0,0,0,0,0,
10236,0,0,0,0,0,0,0,0,0,
10239,0,0,0,0,0,0,0,0,0,
10241,0,0,0,0,0,0,0,0,0,
10242,0,0,0,0,0,0,0,0,0,
10247,0,0,0,0,0,0,0,0,0,
10248,0,0,0,0,0,0,0,0,0,
10249,0,0,0,0,0,0,0,0,0,
10250,0,0,0,0,0,0,0,0,0,
10251,0,0,0,0,0,0,0,0,0,
10252,0,0,0,0,0,0,0,0,0,
10253,0,0,0,0,0,0,0,0,0,
10254,0,0,0,0,0,0,0,0,0,
10255,0,0,0,0,0,0,0,0,0,
10256,0,0,0,0,0,0,0,0,0,
10257,0,0,0,0,0,0,0,0,0,
10258,0,0,0,0,0,0,0,0,0,
10259,0,0,0,0,0,0,0,0,0,
10260,0,0,0,0,0,0,0,0,0,
10261,0,0,0,0,0,0,0,0,0,
10262,0,0,0,0,0,0,0,0,0,
10263,0,0,0,0,0,0,0,0,0,
10265,0,0,0,0,0,0,0,0,0,
10266,0,0,0,0,0,0,0,0,0,
10268,0,0,0,0,0,0,0,0,0,
10269,0,0,0,0,0,0,0,0,0,
10270,0,0,0,0,0,0,0,0,0,
10271,0,0,0,0,0,0,0,0,0,
10272,0,0,0,0,0,0,0,0,0,
10273,0,0,0,0,0,0,0,0,0,
10274,0,0,0,0,0,0,0,0,0,
10275,0,0,0,0,0,0,0,0,0,
10276,0,0,0,0,0,0,0,0,0,
10277,0,0,0,0,0,0,0,0,0,
10278,0,0,0,0,0,0,0,0,0,
10279,0,0,0,0,0,0,0,0,0,
10280,0,0,0,0,0,0,0,0,0,
10281,0,0,0,0,0,0,0,0,0,
10282,0,0,0,0,0,0,0,0,0,
10283,0,0,0,0,0,0,0,0,0,
10284,0,0,0,0,0,0,0,0,0,
10287,0,0,0,0,0,0,0,0,0,
10288,0,0,0,0,0,0,0,0,0,
10289,0,0,0,0,0,0,0,0,0,
10290,0,0,0,0,0,0,0,0,0,
10292,0,0,0,0,0,0,0,0,0,
10295,0,0,0,0,0,0,0,0,0,
10300,0,0,0,0,0,0,0,0,0,
10302,0,0,0,0,0,0,0,0,0,
10308,0,0,0,0,0,0,0,0,0,
10309,0,0,0,0,0,0,0,0,0,
10310,0,0,0,0,0,0,0,0,0,
10312,0,0,0,0,0,0,0,0,0,
10313,0,0,0,0,0,0,0,0,0,
10315,0,0,0,0,0,0,0,0,0,
10316,0,0,0,0,0,0,0,0,0,
10317,0,0,0,0,0,0,0,0,0,
10321,0,0,0,0,0,0,0,0,0,
10322,0,0,0,0,0,0,0,0,0,
10323,0,0,0,0,0,0,0,0,0,
10324,0,0,0,0,0,0,0,0,0,
10325,0,0,0,0,0,0,0,0,0,
10326,0,0,0,0,0,0,0,0,0,
10327,0,0,0,0,0,0,0,0,0,
10328,0,0,0,0,0,0,0,0,0,
10329,0,0,0,0,0,0,0,0,0,
10330,0,0,0,0,0,0,0,0,0,
10331,0,0,0,0,0,0,0,0,0,
10333,0,0,0,0,0,0,0,0,0,
10334,0,0,0,0,0,0,0,0,0,
10335,0,0,0,0,0,0,0,0,0,
10336,0,0,0,0,0,0,0,0,0,
10337,0,0,0,0,0,0,0,0,0,
10338,0,0,0,0,0,0,0,0,0,
10340,0,0,0,0,0,0,0,0,0,
10341,0,0,0,0,0,0,0,0,0,
10344,0,0,0,0,0,0,0,0,0,
10347,0,0,0,0,0,0,0,0,0,
10349,0,0,0,0,0,0,0,0,0,
10350,0,0,0,0,0,0,0,0,0,
10351,0,0,0,0,0,0,0,0,0,
10352,0,0,0,0,0,0,0,0,0,
10353,0,0,0,0,0,0,0,0,0,
10355,0,0,0,0,0,0,0,0,0,
10358,0,0,0,0,0,0,0,0,0,
10359,0,0,0,0,0,0,0,0,0,
10368,0,0,0,0,0,0,0,0,0,
10369,0,0,0,0,0,0,0,0,0,
10370,0,0,0,0,0,0,0,0,0,
10372,0,0,0,0,0,0,0,0,0,
10373,0,0,0,0,0,0,0,0,0,
10375,0,0,0,0,0,0,0,0,0,
10376,0,0,0,0,0,0,0,0,0,
10377,0,0,0,0,0,0,0,0,0,
10378,0,0,0,0,0,0,0,0,0,
10380,0,0,0,0,0,0,0,0,0,
10384,0,0,0,0,0,0,0,0,0,
10385,0,0,0,0,0,0,0,0,0,
10386,0,0,0,0,0,0,0,0,0,
10388,0,0,0,0,0,0,0,0,0,
10390,0,0,0,0,0,0,0,0,0,
10392,0,0,0,0,0,0,0,0,0,
10394,0,0,0,0,0,0,0,0,0,
10395,0,0,0,0,0,0,0,0,0,
10398,0,0,0,0,0,0,0,0,0,
10399,0,0,0,0,0,0,0,0,0,
10400,0,0,0,0,0,0,0,0,0,
10401,0,0,0,0,0,0,0,0,0,
10402,0,0,0,0,0,0,0,0,0,
10403,0,0,0,0,0,0,0,0,0,
10405,0,0,0,0,0,0,0,0,0,
10411,0,0,0,0,0,0,0,0,0,
10413,0,0,0,0,0,0,0,0,0,
10414,0,0,0,0,0,0,0,0,0,
10416,0,0,0,0,0,0,0,0,0,
10417,0,0,0,0,0,0,0,0,0,
10418,0,0,0,0,0,0,0,0,0,
10419,0,0,0,0,0,0,0,0,0,
10420,0,0,0,0,0,0,0,0,0,
10421,0,0,0,0,0,0,0,0,0,
10424,0,0,0,0,0,0,0,0,0,
10425,0,0,0,0,0,0,0,0,0,
10427,0,0,0,0,0,0,0,0,0,
10428,0,0,0,0,0,0,0,0,0,
10429,0,0,0,0,0,0,0,0,0,
10430,0,0,0,0,0,0,0,0,0,
10431,0,0,0,0,0,0,0,0,0,
10432,0,0,0,0,0,0,0,0,0,
10433,0,0,0,0,0,0,0,0,0,
10434,0,0,0,0,0,0,0,0,0,
10435,0,0,0,0,0,0,0,0,0,
10436,0,0,0,0,0,0,0,0,0,
10437,0,0,0,0,0,0,0,0,0,
10438,0,0,0,0,0,0,0,0,0,
10440,0,0,0,0,0,0,0,0,0,
10441,0,0,0,0,0,0,0,0,0,
10443,0,0,0,0,0,0,0,0,0,
10444,0,0,0,0,0,0,0,0,0,
10445,0,0,0,0,0,0,0,0,0,
10446,0,0,0,0,0,0,0,0,0,
10447,0,0,0,0,0,0,0,0,0,
10450,0,0,0,0,0,0,0,0,0,
10452,0,0,0,0,0,0,0,0,0,
10454,0,0,0,0,0,0,0,0,0,
10455,0,0,0,0,0,0,0,0,0,
10456,0,0,0,0,0,0,0,0,0,
10457,0,0,0,0,0,0,0,0,0,
10458,0,0,0,0,0,0,0,0,0,
10460,0,0,0,0,0,0,0,0,0,
10462,0,0,0,0,0,0,0,0,0,
10463,0,0,0,0,0,0,0,0,0,
10464,0,0,0,0,0,0,0,0,0,
10466,0,0,0,0,0,0,0,0,0,
10467,0,0,0,0,0,0,0,0,0,
10468,0,0,0,0,0,0,0,0,0,
10469,0,0,0,0,0,0,0,0,0,
10470,0,0,0,0,0,0,0,0,0,
10472,0,0,0,0,0,0,0,0,0,
10473,0,0,0,0,0,0,0,0,0,
10474,0,0,0,0,0,0,0,0,0,
10476,0,0,0,0,0,0,0,0,0,
10477,0,0,0,0,0,0,0,0,0,
10482,0,0,0,0,0,0,0,0,0,
10483,0,0,0,0,0,0,0,0,0,
10484,0,0,0,0,0,0,0,0,0,
